,Latitude,Longitude,Ship heading,Ice drift,Atmospheric pressure,Atmospheric temperature,Wind direction,Wind speed,Divergence rate (ship radar | 10 min^(-1)),Shear rate (ship radar | 10 min^(-1)),Total Deformation rate (ship radar | 10 min^(-1)),Cell area (m)
2020-01-24 00:20:00,87.427221,93.418742,188.808,0.11663,1025.6,-28.9,40.0,4.2,-4.296993716514695e-05,0.000679335189545663,0.0008041782812240847,899.934724290829
2020-01-24 00:30:00,87.427099,93.412151,188.794,0.11663,1025.6,-28.0,28.0,4.1,-4.9722083041044e-05,0.0003370323177836409,0.00040466502706525684,899.9037014599795
2020-01-24 00:40:00,87.426978,93.40557,188.794,0.114687,1025.6,-28.9,23.0,3.9,-2.7497816789159526e-05,0.0005107559543502679,0.0006135741410082191,899.8990003825759
2020-01-24 00:50:00,87.426869,93.399136,188.792,0.110799,1025.6,-28.7,30.0,4.5,-3.021127194633185e-05,0.00035881192158310367,0.0004280847455712199,899.8893556480218
2020-01-24 01:00:00,87.426755,93.392756,188.792,0.114687,1025.6,-28.7,16.0,4.2,-2.6769372074543177e-05,0.0005316267150528477,0.0006380074324969498,899.9088548401713
2020-01-24 01:10:00,87.426647,93.386453,188.791,0.120518,1025.6,-28.9,23.0,4.2,-4.52478148846463e-05,0.0003439974490619367,0.00041539647695017836,899.8839016466256
2020-01-24 01:20:00,87.426538,93.380287,188.793,0.106911,1025.6,-28.8,46.0,4.6,-4.469196626163289e-05,0.0004855655225342828,0.000567803759003158,899.8682530466792
2020-01-24 01:30:00,87.426432,93.374379,188.799,0.097192,1025.6,-28.9,28.0,4.5,-4.210590932510199e-05,0.000467741025245934,0.000551546051281866,899.8489101168371
2020-01-24 01:40:00,87.426326,93.368434,188.794,0.110799,1025.6,-28.8,33.0,4.5,-4.090393559572149e-05,0.0004408791081305592,0.0005219197326072379,899.8514754228438
2020-01-24 01:50:00,87.426218,93.36278,188.802,0.087473,1025.6,-27.6,35.0,3.9,-6.298998340262042e-05,0.0005044200621807483,0.0006047265037640355,899.8337620127455
2020-01-24 02:00:00,87.426116,93.357091,188.811,0.087473,1025.6,-28.7,22.0,4.7,-3.3977749436776286e-05,0.0004530793293049906,0.0005360742606214607,899.8246555060256
2020-01-24 02:10:00,87.426021,93.351491,188.813,0.093304,1025.6,-29.0,18.0,5.4,-3.651079207118856e-05,0.00035314302126067577,0.0004221695887323659,899.8091041198735
2020-01-24 02:20:00,87.425925,93.345789,188.811,0.10108,1025.6,-29.0,21.0,5.1,-4.2273573675532175e-05,0.0003200174404861698,0.0003788169739927276,899.7968086199447
2020-01-24 02:30:00,87.425828,93.340588,188.798,0.081641,1025.5,-29.1,25.0,4.8,-2.778788367964029e-05,0.00032466996199021533,0.00038922314223526465,899.7704857788767
2020-01-24 02:40:00,87.425735,93.335267,188.787,0.093304,1025.5,-29.2,26.0,4.5,-3.963954396121411e-05,0.00036047254343438986,0.0004278736080879485,899.7352445564668
2020-01-24 02:50:00,87.425644,93.329947,188.786,0.099136,1025.5,-29.3,36.0,4.1,-5.614967168873893e-05,0.0005837057390837104,0.0006940195016356593,899.7357829988761
2020-01-24 03:00:00,87.425558,93.324548,188.779,0.095248,1025.5,-29.3,22.0,5.0,-4.042949731223193e-05,0.00030483149593698997,0.00036157490368789793,899.7166653176371
2020-01-24 03:10:00,87.42545,93.319446,188.783,0.083585,1025.4,-29.5,18.0,5.9,-3.2211386005749005e-05,0.000504595744625345,0.0006057270780323459,899.7083660292376
2020-01-24 03:20:00,87.425346,93.314456,188.781,0.077754,1025.4,-29.5,31.0,6.0,-4.5655174604124056e-05,0.00032044091327887,0.00038221315515320724,899.680726902096
2020-01-24 03:30:00,87.425269,93.309201,188.781,0.093304,1025.3,-29.7,32.0,6.0,-3.6987291725270815e-05,0.0005749931933401827,0.0006889835749678042,899.6723151990261
2020-01-24 03:40:00,87.425181,93.303882,188.777,0.097192,1025.3,-29.8,28.0,5.7,-5.702132908132978e-05,0.0005657410460309299,0.0006647101740306161,899.6401888816271
2020-01-24 03:50:00,87.425085,93.298797,188.772,0.095248,1025.3,-29.8,31.0,5.8,-5.856776555231927e-05,0.000462637371627892,0.0005513443455050454,899.619970001202
2020-01-24 04:00:00,87.424995,93.293688,188.774,0.073866,1025.3,-29.9,35.0,6.0,-3.9018773417086083e-05,0.0004192112778058803,0.0004875676528022179,899.5908529969508
2020-01-24 04:10:00,87.4249,93.288831,188.777,0.083585,1025.3,-30.0,31.0,6.2,-4.198857699189661e-05,0.0006342495338258677,0.0007568382093414862,899.5579074023549
2020-01-24 04:20:00,87.424819,93.284099,188.779,0.083585,1025.3,-30.1,33.0,6.1,-1.8111965521140978e-05,0.0004025112945248251,0.00046833460727299496,899.5364229792972
2020-01-24 04:30:00,87.424753,93.279279,188.777,0.083585,1025.3,-30.0,38.0,5.9,-4.59346745120982e-05,0.000573738503390853,0.0006720437850578753,899.5323563628995
2020-01-24 04:40:00,87.424686,93.27446,188.766,0.081641,1025.3,-30.2,27.0,5.8,-4.314438541363795e-05,0.00037370126288783194,0.000440128755894985,899.5058803387857
2020-01-24 04:50:00,87.424618,93.269778,188.754,0.068034,1025.4,-30.0,39.0,5.7,-8.749110145350518e-06,0.0006905065595434285,0.0008229914233699257,899.505640186286
2020-01-24 05:00:00,87.424551,93.264849,188.753,0.079697,1025.4,-30.0,46.0,4.9,-5.501523116512711e-05,0.0004101470589059342,0.0004801228221632301,899.4585107010788
2020-01-24 05:10:00,87.424483,93.259995,188.744,0.073866,1025.4,-30.0,50.0,4.5,-3.031649326335991e-05,0.0005240432383818286,0.0006247500311443075,899.4864742435905
2020-01-24 05:20:00,87.424414,93.255229,188.742,0.079697,1025.6,-30.2,29.0,4.6,-3.746595672100458e-05,0.0004554727309945387,0.0005351412998938936,899.4738040874491
2020-01-24 05:30:00,87.424337,93.250476,188.725,0.083585,1025.6,-30.2,43.0,4.8,-4.897212806447948e-05,0.0003907018548631727,0.00045620546797073226,899.4394965004958
2020-01-24 05:40:00,87.424266,93.245742,188.718,0.085529,1025.7,-30.2,25.0,5.0,-4.6365350892098425e-05,0.0005134818192383026,0.0006102290941555401,899.4090803285943
2020-01-24 05:50:00,87.424191,93.240997,188.707,0.079697,1025.6,-30.3,29.0,5.3,-2.1610873154690493e-05,0.0005018163161058937,0.000590113324118692,899.3811810878118
2020-01-24 06:00:00,87.424113,93.236442,188.711,0.068034,1025.7,-30.4,36.0,5.4,-6.362674999428908e-05,0.0006448742735608304,0.0007719043351071833,899.3603827920948
2020-01-24 06:10:00,87.424033,93.231703,188.714,0.081641,1025.7,-30.3,30.0,4.8,-4.075206044094446e-05,0.00048074114903886987,0.0005767473241733491,899.3527524088547
2020-01-24 06:20:00,87.423947,93.227155,188.716,0.071922,1025.7,-29.3,25.0,3.8,-3.3199833970177996e-05,0.00044761230142274463,0.0005299783769960915,899.3585954802708
2020-01-24 06:30:00,87.423854,93.222314,188.718,0.085529,1025.7,-28.2,25.0,4.3,-5.636532254062283e-05,0.0004296659900836143,0.0005110752197683893,899.3372725191988
2020-01-24 06:40:00,87.423758,93.217388,188.715,0.099136,1025.7,-30.1,33.0,4.4,-3.5193013328301956e-05,0.00041238472865576297,0.0004975909266420832,899.3252695305663
2020-01-24 06:50:00,87.423665,93.212731,188.714,0.071922,1025.7,-30.2,25.0,4.6,-3.5385185905235915e-05,0.0005310851454197323,0.0006253998476572313,899.303981439191
2020-01-24 07:00:00,87.423575,93.208132,188.712,0.077754,1025.7,-30.3,25.0,4.5,-4.1289729306680074e-05,0.00042134270596591063,0.0005052970701994218,899.2726723381819
2020-01-24 07:10:00,87.423482,93.203519,188.71,0.07581,1025.7,-30.0,25.0,4.5,-3.86192903015918e-05,0.00036956892319631944,0.0004394876732701304,899.2664245492878
2020-01-24 07:20:00,87.423379,93.198773,188.708,0.066091,1025.6,-30.0,29.0,3.9,-5.842608809529524e-05,0.0004808270475150851,0.0005682846091010462,899.2468583231379
2020-01-24 07:30:00,87.423288,93.194359,188.708,0.07581,1025.7,-30.1,28.0,3.6,-3.5935942988204016e-05,0.000317885798419293,0.00037164563159717217,899.2217927996859
2020-01-24 07:40:00,87.423186,93.189465,188.71,0.11663,1025.7,-30.0,24.0,3.4,-3.806251039107704e-05,0.0004672295884345624,0.000558766024810144,899.2012810297635
2020-01-24 07:50:00,87.423092,93.185242,188.705,0.089417,1025.7,-27.5,18.0,3.3,-1.3650022882666171e-05,0.0005674813943643347,0.0006658543798688663,899.1992402983651
2020-01-24 08:00:00,87.422989,93.180755,188.703,0.077754,1025.7,-28.7,21.0,3.2,-6.895102257494185e-05,0.000552531053747288,0.0006494987034304203,899.133623698222
2020-01-24 08:10:00,87.422884,93.176248,188.697,0.093304,1025.8,-29.2,29.0,1.7,-3.6844442745716305e-05,0.00074097223381415,0.0008681683595698446,899.103114552767
2020-01-24 08:20:00,87.422779,93.171532,188.695,0.114687,1025.8,-29.6,29.0,2.5,-4.5538520579532684e-05,0.0004607279550662239,0.0005378681093742049,899.0878897669435
2020-01-24 08:30:00,87.422677,93.167584,188.694,0.077754,1025.8,-29.3,23.0,2.9,-5.708890625154585e-05,0.0006227697816025855,0.0007407394596013375,899.0542931316467
2020-01-24 08:40:00,87.422573,93.163301,188.693,0.071922,1025.8,-30.1,25.0,3.2,-5.8377215494329555e-05,0.0005462051995985451,0.0006465584306146593,899.0282094620961
2020-01-24 08:50:00,87.422461,93.159068,188.692,0.077754,1025.9,-30.1,27.0,2.9,-4.9775265825684216e-05,0.0005576776233168482,0.0006609053981277274,899.0104898245287
2020-01-24 09:00:00,87.422357,93.154729,188.69,0.079697,1025.9,-30.7,28.0,3.0,-5.101026946268297e-05,0.0004319644377811642,0.0005177999137981897,898.9723760406587
2020-01-24 09:10:00,87.422245,93.150583,188.688,0.066091,1025.9,-30.7,19.0,4.1,-4.567030474384021e-05,0.0004200961490887012,0.0004977104320421588,898.9567729051302
2020-01-24 09:20:00,87.422128,93.146468,188.686,0.083585,1026.0,-30.6,17.0,3.9,-4.9115646901753465e-05,0.00044111296233173645,0.0005295230791961261,898.9257596760032
2020-01-24 09:30:00,87.422015,93.142459,188.682,0.071922,1025.9,-30.5,21.0,3.4,-4.661048715024715e-05,0.0006229531083068984,0.0007337760484624204,898.9104755169063
2020-01-24 09:40:00,87.421894,93.138565,188.68,0.07581,1025.9,-30.4,28.0,3.2,-5.929110653053905e-05,0.00045961288797687663,0.0005502328053853801,898.8883572293425
2020-01-24 09:50:00,87.421777,93.134616,188.677,0.077754,1025.9,-30.5,27.0,3.0,-4.202291639246596e-06,0.00037375467254338536,0.0004507573351127101,898.8831531366242
2020-01-24 10:00:00,87.421647,93.130743,188.675,0.079697,1025.8,-30.4,21.0,2.6,-5.317857832137958e-05,0.0008069691818388805,0.0009577557221040453,898.8644035732215
2020-01-24 10:10:00,87.421516,93.127002,188.675,0.073866,1025.7,-30.3,29.0,2.4,-3.710673075435313e-06,0.0008062073340766843,0.0009785554068118785,898.8799835226628
2020-01-24 10:20:00,87.421355,93.122806,188.679,0.134125,1025.6,-30.1,23.0,2.8,-5.1061345033753086e-05,0.0007912188768008758,0.0009728441788746491,898.9207223899872
2020-01-24 10:30:00,87.421249,93.119833,188.666,0.069978,1025.6,-30.4,28.0,1.9,3.4372161730256867e-06,0.0008833713189583061,0.0010809835284685708,898.952528439609
