day, mean latitude, mean longitude, divergence, maximum shear, vorticity, pure shear, normal shear, area, flag, shape factor
   7.3750,    84.8602,   135.4806,       -9.5769100E-08,        6.0040603E-07,        1.0369567E-07,        7.8072212E-08,       -5.9530843E-07,         333639822.70,       0.00,    1
   7.4167,    84.8557,   135.4904,       -1.4954690E-08,        2.7781366E-07,       -3.7548525E-07,        2.2820879E-07,       -1.5843353E-07,         333587116.14,       0.00,    1
   7.4583,    84.8518,   135.4946,       -7.3828894E-09,        2.3717585E-07,       -5.1668728E-07,        2.3549128E-07,        2.8217677E-08,         333604248.71,       0.00,    1
   7.5000,    84.8486,   135.4968,       -4.1993864E-08,        1.9394839E-07,       -4.3279914E-07,        1.8199647E-07,        6.7031798E-08,         333569316.35,       0.00,    1
   7.5417,    84.8461,   135.5016,       -3.3546970E-08,        2.6877534E-07,       -3.8296160E-07,        2.5817590E-07,        7.4735428E-08,         333503337.55,       0.00,    1
   7.5833,    84.8442,   135.5123,        5.8770442E-08,        2.2392370E-07,       -3.1502381E-07,        2.2353565E-07,       -1.3177051E-08,         333488642.43,       0.00,    1
   7.6250,    84.8427,   135.5305,        1.5313965E-07,        8.1905981E-08,       -1.1654856E-07,        2.6656532E-08,       -7.7446879E-08,         333644500.45,       0.00,    1
   7.6667,    84.8416,   135.5548,       -9.7852403E-09,        1.0653596E-07,        2.3553871E-07,       -1.0630140E-07,        7.0656793E-09,         333856483.99,       0.00,    1
   7.7083,    84.8406,   135.5830,       -9.3289223E-08,        2.9806029E-07,        5.3478044E-07,       -2.8370117E-07,       -9.1397952E-08,         333621171.72,       0.00,    1
   7.7500,    84.8393,   135.6132,        1.7483105E-09,        3.1567535E-07,        5.9505329E-07,       -3.1051815E-07,       -5.6827851E-08,         333632357.38,       0.00,    1
   7.7917,    84.8378,   135.6402,        4.1375090E-09,        2.3015556E-07,        5.2467526E-07,       -2.0743157E-07,        9.9718227E-08,         333625465.80,       0.00,    1
   7.8333,    84.8362,   135.6612,        6.6928746E-09,        2.0559264E-07,        4.1073073E-07,       -1.8510387E-07,       -8.9470056E-08,         333642224.98,       0.00,    1
   7.8750,    84.8349,   135.6750,        7.4056818E-08,        2.9541426E-07,        3.2185703E-07,       -1.2663091E-07,       -2.6689735E-07,         333641357.25,       0.00,    1
   7.9167,    84.8343,   135.6799,        2.6667741E-07,        4.0582461E-07,        4.0747722E-07,       -1.1903514E-07,       -3.8797455E-07,         333820144.84,       0.00,    1
   7.9583,    84.8346,   135.6768,        3.1034354E-07,        5.3316155E-07,        5.5337823E-07,       -2.1886457E-07,       -4.8616822E-07,         334282418.21,       0.00,    1
   8.0000,    84.8361,   135.6693,       -1.8082330E-08,        7.7526416E-07,        6.1783994E-07,       -1.4704627E-07,       -7.6119111E-07,         334567072.55,       0.00,    1
   8.0417,    84.8390,   135.6635,       -1.1393346E-07,        8.1478575E-07,        2.6572320E-07,        2.4337838E-07,       -7.7758780E-07,         334238052.70,       0.00,    1
   8.0833,    84.8427,   135.6624,        2.9693928E-08,        6.9315984E-07,       -3.5009284E-07,        6.2841026E-07,       -2.9252538E-07,         334293061.52,       0.00,    1
   8.1250,    84.8468,   135.6658,        3.6899628E-08,        6.3010541E-07,       -4.9136280E-07,        6.2765190E-07,        5.5551058E-08,         334309774.01,       0.00,    1
   8.1667,    84.8508,   135.6698,       -1.9068539E-08,        6.1589680E-07,       -4.2872193E-07,        5.0929510E-07,        3.4633418E-07,         334382014.19,       0.00,    1
   8.2083,    84.8544,   135.6706,       -1.8856832E-07,        6.8446349E-07,       -4.7654070E-07,        5.0086782E-07,        4.6649940E-07,         334263667.31,       0.00,    1
   8.2500,    84.8575,   135.6668,       -2.8789323E-07,        4.4556032E-07,       -3.4040154E-07,        3.0339650E-07,        3.2630439E-07,         333928409.10,       0.00,    1
   8.2917,    84.8598,   135.6578,       -2.2714817E-07,        2.2688133E-07,       -6.3396770E-08,        1.4204219E-07,        1.7691567E-07,         333571662.16,       0.00,    1
   8.3333,    84.8614,   135.6423,       -2.3865068E-08,        1.6377489E-07,        3.6509246E-08,        9.4934246E-08,        1.3345300E-07,         333382789.81,       0.00,    1
   8.3750,    84.8624,   135.6186,        4.5055009E-08,        1.0126747E-07,       -8.6730964E-08,        6.2577286E-08,        7.9618990E-08,         333514376.59,       0.00,    1
   8.4167,    84.8631,   135.5849,       -1.5356958E-08,        1.3389525E-07,       -2.1914526E-07,        1.3389464E-07,       -4.0469491E-10,         333491013.28,       0.00,    1
   8.4583,    84.8640,   135.5415,       -1.9824303E-08,        1.3759406E-07,       -2.2830435E-07,        1.3453534E-07,       -2.8850742E-08,         333477516.76,       0.00,    1
   8.5000,    84.8651,   135.4914,       -1.6023221E-08,        5.2753688E-08,       -1.7863665E-07,        5.0212507E-08,       -1.6175777E-08,         333443407.09,       0.00,    1
   8.5417,    84.8665,   135.4402,       -1.4109943E-08,        5.8227491E-08,       -3.9646691E-08,       -8.4054157E-09,        5.7617616E-08,         333439047.95,       0.00,    1
   8.5833,    84.8681,   135.3930,       -4.0470461E-08,        1.9165623E-07,        2.0049888E-07,       -1.5666835E-07,        1.1039538E-07,         333409494.90,       0.00,    1
   8.6250,    84.8696,   135.3541,       -3.8929573E-08,        2.9001898E-07,        3.4320750E-07,       -2.7318253E-07,        9.7377179E-08,         333341917.98,       0.00,    1
   8.6667,    84.8709,   135.3237,       -2.0287085E-08,        2.3444361E-07,        3.2858188E-07,       -2.3073593E-07,        4.1529946E-08,         333316111.51,       0.00,    1
   8.7083,    84.8716,   135.2999,       -4.8092921E-08,        1.7620091E-07,        2.7796989E-07,       -1.7157238E-07,       -4.0120819E-08,         333293213.89,       0.00,    1
   8.7500,    84.8717,   135.2785,       -7.3371380E-08,        2.4507062E-07,        2.1068146E-07,       -2.1832235E-07,       -1.1133266E-07,         333200712.40,       0.00,    1
   8.7917,    84.8711,   135.2552,       -1.0345128E-07,        3.7880680E-07,       -1.5433182E-08,       -2.6437814E-07,       -2.7129097E-07,         333117053.39,       0.00,    1
   8.8333,    84.8701,   135.2258,       -7.2789355E-08,        4.5411693E-07,       -3.4795497E-07,       -8.0967086E-08,       -4.4684059E-07,         332952495.64,       0.00,    1
   8.8750,    84.8690,   135.1876,        1.3138212E-08,        4.0804502E-07,       -4.4642853E-07,        1.2201841E-07,       -3.8937417E-07,         332942747.30,       0.00,    1
   8.9167,    84.8681,   135.1409,        7.0126155E-08,        3.4986159E-07,       -4.5086262E-07,        2.6654266E-07,       -2.2662335E-07,         332984020.44,       0.00,    1
   8.9583,    84.8675,   135.0898,        1.3659579E-07,        3.6292808E-07,       -5.0488979E-07,        3.3831940E-07,       -1.3136504E-07,         333110960.86,       0.00,    1
   9.0000,    84.8672,   135.0378,        9.6497911E-08,        3.0259786E-07,       -3.5590243E-07,        3.0246998E-07,       -8.7963630E-09,         333311676.53,       0.00,    1
