day, mean latitude, mean longitude, divergence, maximum shear, vorticity, pure shear, normal shear, area, flag, shape factor
   6.3750,    85.1753,   133.5838,        8.9891443E-07,        7.7985172E-07,        3.1733254E-07,       -7.0478530E-07,       -3.3383588E-07,          95754569.01,     995.00,    1
   6.4167,    85.1739,   133.5580,        4.8294391E-07,        4.3297736E-07,        2.5857338E-07,       -4.0195038E-07,       -1.6095120E-07,          96093505.18,     995.00,    1
   6.4583,    85.1722,   133.5316,       -8.7926335E-08,        5.6574229E-09,        1.2576660E-07,       -4.1100632E-09,       -3.8876490E-09,          96088535.15,     995.00,    1
   6.5000,    85.1707,   133.5058,       -1.8030094E-07,        9.5842334E-07,       -8.1998722E-07,        9.0610027E-07,       -3.1234210E-07,          96032628.88,     995.00,    1
   6.5417,    85.1693,   133.4831,       -1.6063318E-07,        2.0031657E-06,       -1.8648391E-06,        1.8418635E-06,       -7.8753517E-07,          95963759.54,     995.00,    1
   6.5833,    85.1682,   133.4667,       -2.7675304E-09,        2.5787659E-06,       -2.5336413E-06,        2.2810326E-06,       -1.2028816E-06,          95921581.98,     995.00,    1
   6.6250,    85.1673,   133.4586,        2.5106980E-07,        2.8311468E-06,       -2.7426042E-06,        2.3711300E-06,       -1.5469761E-06,          95962086.48,     995.00,    1
   6.6667,    85.1665,   133.4595,        6.3798526E-07,        3.1118210E-06,       -2.8187852E-06,        2.3603145E-06,       -2.0278919E-06,          96094676.17,     995.00,    1
   6.7083,    85.1658,   133.4718,        1.1820943E-06,        3.3071006E-06,       -2.6808518E-06,        2.0621681E-06,       -2.5854162E-06,          96403287.30,     995.00,    1
   6.7500,    85.1649,   133.4973,        1.6353043E-06,        2.6818089E-06,       -1.5037706E-06,        8.6072416E-07,       -2.5399317E-06,          96914783.08,     995.00,    1
   6.7917,    85.1635,   133.5324,        2.0354373E-06,        2.3550286E-06,        3.5466062E-07,       -9.8141805E-07,       -2.1407892E-06,          97544784.61,     995.00,    1
   6.8333,    85.1615,   133.5739,        2.2929254E-06,        2.8109085E-06,        1.5156083E-06,       -2.2404574E-06,       -1.6975150E-06,          98344585.95,     995.00,    1
   6.8750,    85.1587,   133.6192,        2.1565281E-06,        3.1285982E-06,        2.0628751E-06,       -2.9984657E-06,       -8.9293332E-07,          99168533.89,     995.00,    1
   6.9167,    85.1550,   133.6644,        1.6989899E-06,        3.7108752E-06,        2.8731741E-06,       -3.7045602E-06,        2.1639895E-07,          99883773.28,     995.00,    1
   6.9583,    85.1505,   133.7044,        6.2311687E-07,        3.3404407E-06,        2.7845857E-06,       -3.1377269E-06,        1.1459554E-06,         100389963.06,     995.00,    1
   7.0000,    85.1456,   133.7359,       -5.6187732E-07,        1.8229005E-06,        1.0634665E-06,       -1.1487615E-06,        1.4153845E-06,         100334463.10,     995.00,    1
   7.0417,    85.1406,   133.7598,       -1.3613785E-06,        1.6242968E-06,       -5.3364554E-07,        1.1121756E-06,        1.1838098E-06,          99984564.48,     995.00,    1
   7.0833,    85.1360,   133.7782,       -1.6214730E-06,        2.4132028E-06,       -9.7876365E-07,        2.1749593E-06,        1.0455141E-06,          99354062.44,     995.00,    1
   7.1250,    85.1320,   133.7908,       -1.2231483E-06,        2.7803342E-06,       -2.1689211E-06,        2.7803024E-06,       -1.3300036E-08,          98824527.23,     995.00,    1
   7.1667,    85.1288,   133.8035,       -3.4422086E-07,        3.6116366E-06,       -3.6904649E-06,        3.3068956E-06,       -1.4520195E-06,          98484233.62,     995.00,    1
   7.2083,    85.1260,   133.8201,        8.9072217E-07,        2.8267364E-06,       -3.1868878E-06,        2.0710108E-06,       -1.9238901E-06,          98581671.06,     995.00,    1
   7.2500,    85.1228,   133.8503,        1.9451483E-06,        1.8994290E-06,       -3.5845840E-07,       -6.8529147E-07,       -1.7714983E-06,          99116389.19,     995.00,    1
   7.2917,    85.1187,   133.8903,        1.7106166E-06,        3.3892904E-06,        2.9914495E-06,       -3.3522684E-06,       -4.9958554E-07,          99969128.63,     995.00,    1
   7.3333,    85.1138,   133.9239,       -2.4793565E-07,        3.3873527E-06,        3.5847174E-06,       -3.1072601E-06,        1.3487377E-06,         100347701.49,     995.00,    1
   7.3750,    85.1089,   133.9470,       -1.6909501E-06,        2.5959298E-06,        2.1343712E-06,       -1.2079049E-06,        2.2977853E-06,          99790417.34,     995.00,    1
   7.4167,    85.1042,   133.9606,       -1.7221666E-06,        2.0035532E-06,        7.0948317E-07,       -2.5683163E-08,        2.0033885E-06,          99131930.00,     995.00,    1
   7.4583,    85.1001,   133.9666,       -1.6684820E-06,        1.8138592E-06,       -7.6618578E-07,        1.1728376E-06,        1.3836680E-06,          98561290.52,     995.00,    1
   7.5000,    85.0966,   133.9686,       -1.8008112E-06,        2.8291165E-06,       -2.3825156E-06,        2.7181347E-06,        7.8462991E-07,          97948201.58,     995.00,    1
   7.5417,    85.0938,   133.9719,       -1.6296199E-06,        3.7979573E-06,       -3.5831503E-06,        3.7965230E-06,        1.0436623E-07,          97291425.36,     995.00,    1
   7.5833,    85.0916,   133.9808,       -9.8748007E-07,        4.1275606E-06,       -4.0648230E-06,        4.0859471E-06,       -5.8463049E-07,          96806731.50,     995.00,    1
   7.6250,    85.0899,   133.9974,       -7.4130103E-07,        4.2177666E-06,       -3.8550872E-06,        4.1446962E-06,       -7.8169582E-07,          96602695.60,     995.00,    1
   7.6667,    85.0888,   134.0185,       -5.0925342E-07,        3.6717655E-06,       -3.2885521E-06,        3.5190368E-06,       -1.0479701E-06,          96289834.01,     995.00,    1
   7.7083,    85.0880,   134.0469,        6.1362420E-07,        1.9484462E-06,       -1.3639469E-06,        1.2289486E-06,       -1.5119947E-06,          96250619.60,     995.00,    1
   7.7500,    85.0869,   134.0802,        9.6647014E-07,        1.4098691E-06,        1.4126632E-06,       -1.2592176E-06,       -6.3411491E-07,          96715238.78,     995.00,    1
   7.7917,    85.0857,   134.1121,        3.6799508E-08,        2.1910482E-06,        2.8485674E-06,       -1.9841030E-06,        9.2953093E-07,          96924526.46,     995.00,    1
   7.8333,    85.0843,   134.1379,       -8.6255505E-07,        2.0571865E-06,        2.5505512E-06,       -1.4317763E-06,        1.4771706E-06,          96741616.30,     995.00,    1
   7.8750,    85.0832,   134.1553,       -1.7390399E-06,        1.8310442E-06,        1.8311503E-06,       -6.3285110E-07,        1.7182033E-06,          96323039.64,     995.00,    1
   7.9167,    85.0825,   134.1629,       -2.8410187E-06,        2.4975546E-06,        1.0187345E-06,        6.4366345E-07,        2.4131880E-06,          95536054.72,     995.00,    1
   7.9583,    85.0827,   134.1623,       -3.5274325E-06,        3.5822254E-06,       -6.3279592E-07,        2.4861486E-06,        2.5790316E-06,          94368110.43,     995.00,    1
   8.0000,    85.0841,   134.1549,       -3.7003281E-06,        4.6813841E-06,       -2.4716734E-06,        4.4503605E-06,        1.4524628E-06,          93138328.93,     995.00,    1
   8.0417,    85.0866,   134.1457,       -2.6736867E-06,        5.0086581E-06,       -3.6722044E-06,        5.0067434E-06,        1.3848099E-07,          91885741.09,     995.00,    1
   8.0833,    85.0901,   134.1399,       -5.9390501E-07,        3.2969784E-06,       -3.0114822E-06,        3.2583836E-06,       -5.0299429E-07,          91370259.24,     995.00,    1
   8.1250,    85.0941,   134.1381,        8.2551828E-07,        1.1989208E-06,       -1.1563350E-06,        1.0457977E-06,       -5.8627496E-07,          91495636.32,     995.00,    1
   8.1667,    85.0980,   134.1384,        1.2730760E-06,        6.3907783E-07,        3.1667093E-07,       -6.3160094E-07,       -9.7471617E-08,          91914596.21,     995.00,    1
   8.2083,    85.1016,   134.1386,        1.3135790E-06,        2.2727885E-06,        1.7794541E-06,       -2.2468849E-06,        3.4216315E-07,          92337858.46,     995.00,    1
   8.2500,    85.1045,   134.1362,        1.4601083E-06,        3.6869879E-06,        3.2163464E-06,       -3.6152445E-06,        7.2380060E-07,          92787396.84,     995.00,    1
   8.2917,    85.1069,   134.1297,        1.6160193E-06,        4.4700616E-06,        4.1500737E-06,       -4.3576978E-06,        9.9595202E-07,          93313339.82,     995.00,    1
   8.3333,    85.1086,   134.1171,        1.2426575E-06,        4.8924384E-06,        4.7336515E-06,       -4.7197312E-06,        1.2884450E-06,          93873723.75,     995.00,    1
   8.3750,    85.1096,   134.0953,        2.1624686E-07,        4.6767296E-06,        4.5951937E-06,       -4.2624984E-06,        1.9242940E-06,          94152772.07,     995.00,    1
   8.4167,    85.1104,   134.0632,       -7.0214937E-07,        3.8753979E-06,        3.7076746E-06,       -3.0828818E-06,        2.3483076E-06,          94020284.08,       0.00,    1
   8.4583,    85.1111,   134.0202,       -1.0124259E-06,        2.7151295E-06,        2.3816941E-06,       -1.7749860E-06,        2.0545931E-06,          93677429.47,       0.00,    1
   8.5000,    85.1120,   133.9688,       -8.9148701E-07,        1.1280763E-06,        5.1848251E-07,       -1.8141286E-07,        1.1133937E-06,          93337519.11,       0.00,    1
   8.5417,    85.1131,   133.9144,       -6.2586409E-07,        1.6990103E-06,       -1.6180177E-06,        1.6946834E-06,       -1.2117834E-07,          93078515.12,       0.00,    1
   8.5833,    85.1145,   133.8632,        6.1972560E-09,        3.0422691E-06,       -2.9602810E-06,        2.6852838E-06,       -1.4299135E-06,          92917953.63,       0.00,    1
   8.6250,    85.1160,   133.8216,        9.3070068E-07,        2.7900648E-06,       -2.4752285E-06,        1.7928194E-06,       -2.1378168E-06,          93082480.86,       0.00,    1
   8.6667,    85.1173,   133.7889,        1.5894035E-06,        1.9913579E-06,       -8.6164963E-07,        1.9477236E-08,       -1.9912627E-06,          93541751.01,       0.00,    1
   8.7083,    85.1182,   133.7628,        1.8459716E-06,        2.2580815E-06,        7.6319601E-07,       -1.5693496E-06,       -1.6235991E-06,          94152965.69,       0.00,    1
   8.7500,    85.1185,   133.7403,        1.5077484E-06,        2.9905217E-06,        2.1305511E-06,       -2.8459815E-06,       -9.1848221E-07,          94792910.82,       0.00,    1
   8.7917,    85.1181,   133.7166,        4.2706089E-07,        3.6945578E-06,        3.2417075E-06,       -3.6934738E-06,        8.9491047E-08,          95181518.80,       0.00,    1
   8.8333,    85.1173,   133.6861,       -8.3720745E-07,        3.9062925E-06,        3.7126512E-06,       -3.7365782E-06,        1.1389050E-06,          95085900.34,       0.00,    1
   8.8750,    85.1164,   133.6444,       -1.1848479E-06,        3.1864957E-06,        3.0586729E-06,       -2.7815841E-06,        1.5545238E-06,          94609053.13,       0.00,    1
   8.9167,    85.1155,   133.5933,       -6.8469091E-07,        1.6138320E-06,        1.5051328E-06,       -1.3063377E-06,        9.4759460E-07,          94278923.31,       0.00,    1
   8.9583,    85.1148,   133.5367,       -1.1645934E-07,        2.5657382E-07,       -3.0823264E-07,        2.5010384E-07,       -5.7255517E-08,          94144046.67,       0.00,    1
   9.0000,    85.1143,   133.4788,       -8.8482007E-10,        2.2382711E-06,       -2.1298070E-06,        1.9882681E-06,       -1.0279336E-06,          94199986.81,       0.00,    1
   9.0417,    85.1141,   133.4235,        8.6979603E-08,        3.3094097E-06,       -3.1481233E-06,        2.9385660E-06,       -1.5221768E-06,          94143101.56,       0.00,    1
   9.0833,    85.1139,   133.3740,        4.0713804E-07,        3.2585593E-06,       -3.0081260E-06,        2.7347407E-06,       -1.7718359E-06,          94259069.47,       0.00,    1
   9.1250,    85.1135,   133.3325,        7.6573859E-07,        2.7234520E-06,       -2.4148297E-06,        1.9674826E-06,       -1.8831365E-06,          94419002.15,       0.00,    1
