day, mean latitude, mean longitude, divergence, maximum shear, vorticity, pure shear, normal shear, area, flag, shape factor
   5.3125,    85.1448,   136.1227,        4.6683648E-07,        1.2622906E-06,        1.2163865E-06,       -1.2601597E-06,       -7.3314912E-08,         372526103.33,     995.00,        3.6
   5.3542,    85.1433,   136.1155,        1.4713785E-07,        8.6444563E-07,        7.9626354E-07,       -8.3687035E-07,        2.1659701E-07,         373789355.76,     995.00,        3.4
   5.3958,    85.1416,   136.1023,       -9.3013828E-07,        9.2208991E-07,       -1.9403117E-07,        4.5695212E-07,        8.0090235E-07,         372922297.65,     995.00,        4.0
   5.4375,    85.1402,   136.0868,       -7.0811683E-07,        7.9205432E-07,       -4.3553761E-07,        4.8202930E-07,        6.2848850E-07,         371291662.78,     995.00,        4.9
   5.4792,    85.1394,   136.0671,       -3.0444534E-07,        7.0167139E-07,       -9.3537868E-07,        6.5342836E-07,        2.5568363E-07,         371029800.01,     995.00,        6.1
   5.5208,    85.1388,   136.0477,        2.0576444E-08,        5.0486349E-07,       -8.8966569E-07,        4.4900703E-07,        2.3082424E-07,         370478674.73,     995.00,       10.9
   5.5625,    85.1388,   136.0302,       -6.0566173E-08,        8.6588683E-07,       -1.1989956E-06,        8.6526765E-07,        3.2739724E-08,         371084665.21,     995.00,       18.5
   5.6042,    85.1391,   136.0145,       -3.4728710E-07,        1.0899058E-06,       -1.1561263E-06,        1.0898721E-06,        8.5786557E-09,         370316882.28,     995.00, **********
   5.6458,    85.1400,   136.0029,       -1.1987230E-07,        5.4233710E-07,       -6.2492833E-07,        5.4138513E-07,       -3.2119699E-08,         370158054.09,     995.00, **********
   5.6875,    85.1410,   135.9919,       -1.5937065E-07,        3.4488062E-07,       -5.1467197E-07,        3.4475193E-07,       -9.4209186E-09,         369997517.11,     995.00, **********
   5.7292,    85.1420,   135.9791,       -2.5886970E-07,        6.5735143E-07,       -7.3884344E-07,        6.1650289E-07,       -2.2811201E-07,         369733449.09,     995.00, **********
   5.7708,    85.1432,   135.9650,       -2.3492303E-07,        7.6448348E-07,       -7.4973465E-07,        7.1470714E-07,       -2.7134608E-07,         369308097.65,     995.00, **********
   5.8125,    85.1444,   135.9481,       -1.8323752E-07,        2.5524727E-07,       -2.8501667E-07,        1.6036658E-07,        1.9857928E-07,         369108986.88,     995.00,       33.3
   5.8542,    85.1453,   135.9249,       -1.1972674E-07,        1.0465339E-06,        4.9002551E-07,       -7.7016199E-07,        7.0857866E-07,         368820970.09,     995.00,       14.9
   5.8958,    85.1462,   135.8963,       -3.7521882E-07,        1.0460833E-06,        9.6647798E-08,       -4.2488403E-07,        9.5590992E-07,         368788762.11,     995.00,        7.0
   5.9375,    85.1468,   135.8567,       -9.2093113E-07,        1.4352422E-06,       -4.2397612E-07,        2.4898430E-07,        1.4134804E-06,         367827271.32,     995.00,        9.8
   5.9792,    85.1475,   135.8116,       -7.4551714E-07,        1.2577911E-06,       -4.3422998E-07,        1.9262941E-07,        1.2429531E-06,         366346731.37,     995.00,       10.3
   6.0208,    85.1486,   135.7576,       -5.1900234E-07,        9.8365774E-07,       -1.0507222E-06,        6.0896216E-07,        7.7249443E-07,         365864289.65,     995.00,       14.4
   6.0625,    85.1499,   135.7019,       -4.5981221E-07,        1.0534851E-06,       -1.3696086E-06,        8.1334338E-07,        6.6955461E-07,         364979257.49,     995.00, **********
   6.1042,    85.1514,   135.6423,       -4.8661322E-07,        1.6444131E-06,       -2.0220257E-06,        1.6193357E-06,        2.8608818E-07,         364657686.00,     995.00, **********
   6.1458,    85.1530,   135.5851,       -1.5834883E-07,        1.9922327E-06,       -2.1728923E-06,        1.9883833E-06,       -1.2378552E-07,         363700995.02,     995.00, **********
   6.1875,    85.1547,   135.5357,        3.4697096E-07,        1.2529665E-06,       -1.2043690E-06,        1.2527945E-06,        2.0760476E-08,         364242578.72,     995.00, **********
   6.2292,    85.1557,   135.4989,        7.7045968E-07,        7.5258876E-07,       -6.0379413E-07,        7.3206034E-07,       -1.7457807E-07,         364609382.29,     995.00, **********
   6.2708,    85.1563,   135.4669,        5.8248614E-07,        9.9683659E-07,       -8.0949040E-07,        7.0460307E-07,       -7.0513665E-07,         366266959.92,     995.00, **********
   6.3125,    85.1561,   135.4430,        3.1051145E-07,        6.0955529E-07,        4.5340650E-08,       -1.2396141E-07,       -5.9681758E-07,         366144205.52,     995.00, **********
   6.3542,    85.1553,   135.4175,        3.2753626E-07,        6.0120029E-07,        4.0897448E-07,       -2.7116259E-07,       -5.3657491E-07,         367085787.82,     995.00, **********
   6.3958,    85.1540,   135.3918,       -9.4784294E-08,        4.0057304E-07,       -3.6062858E-08,        2.4717976E-07,       -3.1521568E-07,         367009342.33,     995.00, **********
   6.4375,    85.1525,   135.3654,       -4.8845890E-08,        1.2705242E-07,        1.9637632E-07,       -8.2122446E-08,       -9.6944424E-08,         366835707.14,     995.00, **********
   6.4792,    85.1509,   135.3383,       -1.6625828E-08,        1.5009175E-07,        2.1291731E-07,       -1.4718149E-07,       -2.9413305E-08,         366880423.16,     995.00, **********
   6.5208,    85.1495,   135.3132,       -9.8352396E-08,        5.4620190E-07,       -5.1400129E-07,        4.8242107E-07,       -2.5613750E-07,         366791731.26,     995.00, **********
   6.5625,    85.1482,   135.2913,       -1.8012105E-07,        7.6654424E-07,       -6.6613340E-07,        6.7227805E-07,       -3.6828291E-07,         366620693.86,     995.00, **********
   6.6042,    85.1472,   135.2788,       -7.0513735E-08,        1.2410912E-06,       -1.0750274E-06,        1.0616289E-06,       -6.4284627E-07,         366316151.26,     995.00, **********
   6.6458,    85.1462,   135.2727,       -2.5254912E-08,        1.3174960E-06,       -1.0773426E-06,        1.0995664E-06,       -7.2577510E-07,         366434224.08,     995.00, **********
   6.6875,    85.1455,   135.2796,        3.0250106E-07,        1.5701768E-06,       -1.0550467E-06,        1.0705821E-06,       -1.1486118E-06,         366249766.81,     995.00, **********
   6.7292,    85.1444,   135.2956,        6.0642305E-07,        1.5289071E-06,       -8.9059390E-07,        8.0614411E-07,       -1.2991107E-06,         367229463.61,     995.00, **********
   6.7708,    85.1430,   135.3273,        9.7003216E-07,        1.2363623E-06,        1.0692692E-07,       -2.3301695E-07,       -1.2142055E-06,         367855603.92,     995.00, **********
   6.8125,    85.1411,   135.3630,        8.8049222E-07,        1.1028502E-06,        5.8362297E-07,       -5.0001895E-07,       -9.8298501E-07,         369798035.37,     995.00, **********
