datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:30:00,,,,,,,779054584.1155477,399071.0832739122,,,,,1.0
2020-01-25 01:00:00,5.8150495364698205e-08,-4.739099189321495e-08,2.8313394215222433e-08,8.510786608304138e-08,8.969390816100889e-08,1.0689470179740099e-07,779184452.109776,399120.54626968916,1.2248132777476482e-09,1.44952709824189e-09,1.2490198910742487e-09,1.3115540240545964e-09,1.0
2020-01-25 01:30:00,4.153121059282324e-08,-2.2358971810132462e-08,2.3697264779518917e-08,5.993462005322444e-08,6.444935250997485e-08,7.667177115640694e-08,779227384.553566,399140.454223438,1.2031592758809004e-09,1.425439017606565e-09,1.2355502018950737e-09,1.2941573215980969e-09,1.0
2020-01-25 02:00:00,9.583142129635103e-09,3.1186768192036675e-08,-1.2826351031596487e-08,8.909094042374259e-08,9.000950475573448e-08,9.051821672707309e-08,779307761.360342,399169.81711857714,1.1340481863308268e-09,1.3585731220312305e-09,1.139047755900215e-09,1.1417422039424643e-09,1.0
2020-01-25 02:30:00,9.918044216826114e-08,-5.6268150915742274e-08,9.381103616669105e-08,1.5754756945132978e-07,1.8336233840865412e-07,2.0846704117289523e-07,779255573.1778665,399174.3203672486,1.1409051148208199e-09,1.3314938680465642e-09,1.1937354523904333e-09,1.226272596268663e-09,1.0
2020-01-25 03:00:00,2.2018972959688833e-07,-1.967712428567924e-07,1.2397403730813814e-07,2.9189745861733016e-07,3.171335495871347e-07,3.8607927332827184e-07,779602853.8133473,399291.5046122341,1.164070264888728e-09,1.3193092043152067e-09,1.1891063455710518e-09,1.2329668758389534e-09,1.0
2020-01-25 03:30:00,2.1960732841225466e-07,-1.963659448258198e-07,1.5608502572354057e-08,4.586444637418614e-07,4.58909979705836e-07,5.08749199671094e-07,779911393.3158498,399428.1652942743,1.1819528405919326e-09,1.3298191381605285e-09,1.182134581776168e-09,1.2110189146091229e-09,1.0
2020-01-25 04:00:00,2.015935474444445e-07,-1.50389939079278e-07,8.945821201304932e-08,4.913878080874856e-07,4.994644628335385e-07,5.386136908813502e-07,780257108.4352326,399595.68252589455,1.1776355289278069e-09,1.3260726142984879e-09,1.1826866302135502e-09,1.203802294155142e-09,1.0
2020-01-25 04:30:00,1.4568519738945164e-07,-1.5967018686465387e-07,5.7361229680595834e-08,4.937981241495282e-07,4.971185955927046e-07,5.180261333393002e-07,780512337.0582128,399728.14892813435,1.0914055923825307e-09,1.2280479641037085e-09,1.0933370610735235e-09,1.1045899536601545e-09,1.0
2020-01-25 05:00:00,1.6857495584898518e-07,-1.9301705141317035e-07,-2.3922904131038754e-08,4.49533274089888e-07,4.5016937907418493e-07,4.806973950371736e-07,780691434.8698621,399854.34564069216,1.02285582645001e-09,1.1474171499131165e-09,1.0232289475866473e-09,1.0393024810698727e-09,1.0
