datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,,,,,,,
2020-01-25 00:30:00,,,,,,,3136076184.919281,740017.8545831245,,,,,1.0
2020-01-25 01:00:00,2.5728604596077673e-08,-9.930264602336584e-08,-4.9185264641265806e-08,7.3689551999316e-08,8.859650293149979e-08,9.225671480251484e-08,3136181244.8015027,740033.7452804631,4.446079345843939e-10,4.583273978840253e-10,4.488810187558285e-10,4.49622822461677e-10,1.0
2020-01-25 01:30:00,3.879066621334149e-08,-8.804711965151972e-08,-5.097950844503544e-08,7.72975394947516e-08,9.259492369044927e-08,1.0039191042367407e-07,3136383053.818488,740059.4868708682,4.372482211458116e-10,4.4919828260674467e-10,4.409047535335391e-10,4.4215284858017027e-10,1.0
2020-01-25 02:00:00,3.977161426734419e-08,-6.819502196498305e-08,-6.090289424792707e-08,1.1272668193050355e-07,1.2812676280479073e-07,1.3415755158866578e-07,3136644777.069285,740097.0359728346,4.219705023744709e-10,4.3309184507917675e-10,4.245087549913541e-10,4.252700255860276e-10,1.0
2020-01-25 02:30:00,8.718750701267988e-08,-1.2423335085906447e-07,7.833226711569808e-09,1.12390001372539e-07,1.1266264620198734e-07,1.4245888258834643e-07,3136858618.5103135,740136.643770549,4.202845071971673e-10,4.3046153956818134e-10,4.2033429735372066e-10,4.241559513712525e-10,1.0
2020-01-25 03:00:00,1.3089742395597916e-07,-1.4798561443128878e-07,3.599415671275119e-08,1.5972514184806637e-07,1.637305721478033e-07,2.0962308044239395e-07,3137689228.445364,740263.9791641022,4.21924460526287e-10,4.305356414719296e-10,4.2234466465648777e-10,4.2555730523634847e-10,1.0
2020-01-25 03:30:00,1.289220782624501e-07,-1.3136985675161357e-07,1.2165268405483238e-08,2.382595304024833e-07,2.385699008319979e-07,2.7117614173540163e-07,3138427308.920309,740389.7663392749,4.215050991202466e-10,4.3049656873325316e-10,4.215287277324864e-10,4.235722690163352e-10,1.0
2020-01-25 04:00:00,1.7657898010310052e-07,-1.4151612950336304e-07,-1.5813734764899484e-08,2.659282980490626e-07,2.663980741493558e-07,3.196061171578805e-07,3139234670.3199606,740539.2732234722,4.22878371302189e-10,4.305827788946647e-10,4.229057662331518e-10,4.252638275640043e-10,1.0
2020-01-25 04:30:00,2.0466760648084514e-07,-1.13597315202014e-07,-9.847554653314183e-08,2.649659239327865e-07,2.8267361764154113e-07,3.489888296968175e-07,3140545277.668228,740730.9536473373,4.123472952291339e-10,4.18745656084978e-10,4.131291028758875e-10,4.1506940139033123e-10,1.0
