datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,34636311823.535355,3274942.009286258,,,,,1.0
2020-01-25 01:00:00,5.547732396817508e-08,-6.032161015738831e-08,-1.7186238985247115e-07,-3.567288780100317e-08,1.7552559918674465e-07,1.8408413686283666e-07,34641192138.26117,3274802.7185242707,1.5981025543549479e-10,1.5340065073217353e-10,1.536706884609261e-10,1.5364618228176164e-10,1.0
2020-01-25 02:00:00,8.64173862549548e-08,-5.505179930627951e-08,-2.1954432777608535e-07,-3.687371811279748e-08,2.226193678593919e-07,2.388039940898253e-07,34650143473.61136,3274591.22131496,1.60065849280162e-10,1.5356802307526237e-10,1.5374995589693302e-10,1.537261433010486e-10,1.0
2020-01-25 03:00:00,1.1382712302121651e-07,-5.8483873850993884e-08,-2.6081444485025945e-07,-3.657483791725702e-08,2.6336646219901016e-07,2.8691202021963076e-07,34662754248.24066,3274608.994519049,1.626727375426642e-10,1.5512314670878374e-10,1.5527222016948826e-10,1.5524876607673073e-10,1.0
2020-01-25 04:00:00,1.5734890117296638e-07,-1.0437313997069481e-08,-3.537144672419441e-07,-5.3752392989219726e-08,3.5777541012249557e-07,3.9084769513028964e-07,34678545111.285904,3274552.8011190547,1.6580004182058284e-10,1.562816859458151e-10,1.5650292270155242e-10,1.564670873020676e-10,1.0
2020-01-25 05:00:00,1.897595769205211e-07,-5.28020273193006e-09,-3.8551659802079717e-07,-1.0353980062828126e-07,3.99178578663326e-07,4.419866906330193e-07,34702037328.120895,3274563.0139317643,1.6633855944354052e-10,1.5463908222408726e-10,1.5545384199106379e-10,1.5530398107447478e-10,1.0
2020-01-25 06:00:00,1.5851188462219376e-07,-6.294103819031315e-08,-3.4116155420741665e-07,-1.4736681238544206e-07,3.716290939389248e-07,4.040225253972182e-07,34725957455.085335,3274364.651769286,1.6533133872609854e-10,1.5251018198021747e-10,1.5459672919229026e-10,1.5427739252864707e-10,1.0
2020-01-25 07:00:00,1.0245183553119311e-07,-1.0884332906066121e-07,-2.960545025521533e-07,-1.8093527797098833e-07,3.4696663138671093e-07,3.6177648057820506e-07,34741673387.8831,3273845.6708782045,1.637887940185205e-10,1.513513443029757e-10,1.5483250336385455e-10,1.545562163346231e-10,1.0
2020-01-25 08:00:00,6.979085967493897e-08,-1.2978671051266238e-07,-2.4097593246378145e-07,-1.9779466302682188e-07,3.1175652158163906e-07,3.1947283584500573e-07,34751582960.28523,3272909.3057708647,1.6093095818760028e-10,1.5055318231306842e-10,1.548142221293846e-10,1.5461354022411406e-10,1.0
2020-01-25 09:00:00,4.3351973407457164e-08,-1.5710946245421415e-07,-1.7168918929703303e-07,-1.7864579784254492e-07,2.477730792646204e-07,2.51537059708093e-07,34759142392.207016,3272101.3887234,1.5675608438687702e-10,1.497343556399811e-10,1.5342470768663542e-10,1.5331636983998298e-10,1.0
2020-01-25 10:00:00,8.2619042187919e-09,-1.1726233674282513e-07,-1.6081484662639995e-07,-1.6412681571496734e-07,2.2978038761436407e-07,2.2992887072642247e-07,34762435362.74028,3271293.0206921757,1.5220106133659475e-10,1.4848347608539177e-10,1.5039163898383628e-10,1.503891908883708e-10,1.0
2020-01-25 11:00:00,-1.3353225128018134e-08,-7.225993064377208e-08,-1.6228792800885103e-07,-1.4826120440734032e-07,2.198152776986194e-07,2.2022049162382844e-07,34761207024.145035,3270233.7839513305,1.4905654850602851e-10,1.4720467579002762e-10,1.480500100060229e-10,1.4804691081573771e-10,1.0
2020-01-25 12:00:00,-1.9883450509168026e-08,-5.3085986855390124e-08,-1.729158757821394e-07,-1.130988452089405e-07,2.0661860730607044e-07,2.0757312082553145e-07,34759095090.07688,3269293.174610297,1.4720643700002772e-10,1.461101723887822e-10,1.4643950134234858e-10,1.4643648287107763e-10,1.0
2020-01-25 13:00:00,3.034939454509054e-08,-4.576749245716417e-08,-2.047502812072594e-07,-1.0784792667390814e-07,2.3141705413022713e-07,2.3339866900127354e-07,34756229832.90545,3268395.339807106,1.4647125927402043e-10,1.4583205250169328e-10,1.459711175455408e-10,1.4596876727496606e-10,1.0
2020-01-25 14:00:00,1.029603090432179e-07,-4.1130699088537356e-08,-2.65259151585378e-07,-1.0227163205290387e-07,2.8429193485317006e-07,3.0236191800693756e-07,34766689137.81516,3267959.9241699213,1.470017979111394e-10,1.467665489259886e-10,1.467970146779073e-10,1.4679348237816306e-10,1.0
2020-01-25 15:00:00,1.3160721132218464e-07,4.1321916509097524e-11,-3.5641773302307783e-07,-7.328719518825281e-08,3.6387444729174247e-07,3.8694324062305737e-07,34781998435.73936,3267717.2497423133,1.4770389457627342e-10,1.4767860821560817e-10,1.4767963404487086e-10,1.4767951537551248e-10,1.0
2020-01-25 16:00:00,1.569934690673686e-07,1.5675508277246327e-08,-3.931258274181748e-07,-4.5560729140728214e-08,3.957571177162318e-07,4.257589054298996e-07,34799641803.1841,3267483.669848367,1.4823506653501593e-10,1.477924797938272e-10,1.477983541926037e-10,1.477975554779391e-10,1.0
2020-01-25 17:00:00,2.0581902034062378e-07,-3.638922678096834e-08,-3.497142288157917e-07,-6.73337595043762e-08,3.561374411729509e-07,4.1133361902376903e-07,34821336551.7941,3267616.8610525983,1.4820301284907613e-10,1.4706083099914165e-10,1.4710181255696454e-10,1.470915530684795e-10,1.0
2020-01-25 18:00:00,2.4905888833266147e-07,-9.926103492347264e-08,-2.8567465641457937e-07,-1.0738401390184905e-07,3.051906547705229e-07,3.9391834892114585e-07,34851252086.996155,3267963.953325832,1.4737035425840943e-10,1.4648234252945302e-10,1.4659257423760616e-10,1.4654851873567741e-10,1.0
2020-01-25 19:00:00,2.3476329179979844e-07,-8.547142268369881e-08,-2.7626728436125237e-07,-9.480338273382868e-08,2.9208097128385115e-07,3.747333678267725e-07,34883838006.80429,3268547.8236509226,1.4663856647920306e-10,1.457384851928672e-10,1.458335719974896e-10,1.4579625988352042e-10,1.0
2020-01-25 20:00:00,1.5386134480142232e-07,-6.376623351499173e-08,-2.7836284336349e-07,-5.971194275317712e-08,2.846952557960276e-07,3.236119622277084e-07,34910210694.68625,3268867.909865481,1.4631617076317675e-10,1.4547025558425288e-10,1.4550757148671005e-10,1.4549913695919663e-10,1.0
2020-01-25 21:00:00,7.241933271122033e-08,-6.365881991537974e-08,-2.611883312012899e-07,-4.808260136717114e-08,2.6557725977566114e-07,2.752741191254409e-07,34922510366.55936,3268774.2463209284,1.460968253629297e-10,1.4590666905590037e-10,1.459129060955218e-10,1.4591247442922879e-10,1.0
2020-01-25 22:00:00,5.7046224209832844e-08,-6.189400758476128e-08,-2.1506148143220533e-07,-4.604080525524387e-08,2.1993452785855635e-07,2.272123857560688e-07,34928418965.36691,3268299.841822304,1.4564189162382267e-10,1.4602069703148923e-10,1.4600411735199498e-10,1.4600516252705832e-10,1.0
