datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,,,,,,,
2020-01-25 01:00:00,,,,,,,74761130747.54178,4508857.693373632,,,,,1.0
2020-01-25 02:00:00,6.350153489724134e-08,-5.7297905473869215e-08,-1.5184361568384646e-07,-2.346302726032953e-08,1.5364568745058429e-07,1.6625114197041834e-07,74776079254.56395,4508618.023970402,9.614331601634151e-11,9.494748841068839e-11,9.497554649801226e-11,9.497145349149086e-11,1.0
2020-01-25 03:00:00,8.679780995752795e-08,-6.29357602241119e-08,-1.9081106254199972e-07,-2.0047518249987666e-08,1.918613159977553e-07,2.1058163355291374e-07,74795321065.83865,4508477.109764376,9.65420121706514e-11,9.518762288816744e-11,9.520251425987663e-11,9.519998447808913e-11,1.0
2020-01-25 04:00:00,1.183013995513651e-07,-5.6026520471267104e-08,-2.5253035454560697e-07,-3.951204051700933e-08,2.5560278033062895e-07,2.816522722233206e-07,74822815218.20433,4508411.950547139,9.717157263215192e-11,9.533144628564431e-11,9.537583225299812e-11,9.53680030835306e-11,1.0
2020-01-25 05:00:00,1.3290453236318505e-07,-6.28592964502617e-08,-2.756319174990144e-07,-7.587865318042154e-08,2.8588550846913903e-07,3.1526835977518435e-07,74859049013.32436,4508333.825678737,9.722582672813669e-11,9.493678294028086e-11,9.509984038337824e-11,9.507088341564173e-11,1.0
2020-01-25 06:00:00,1.0758581264698081e-07,-9.059120826525726e-08,-2.5226953397730976e-07,-1.0714260834241463e-07,2.7407928833741726e-07,2.9443872601690214e-07,74894448361.91994,4507976.816002414,9.696909468766852e-11,9.43954088985512e-11,9.47932355150908e-11,9.474021753520955e-11,1.0
2020-01-25 07:00:00,7.692296545571875e-08,-1.0871060764093297e-07,-2.2211276771642706e-07,-1.2306709197628955e-07,2.539283180548243e-07,2.6532382728404494e-07,74917068429.92561,4507343.408295896,9.662794794614606e-11,9.410200505115522e-11,9.470137404420657e-11,9.465114065418926e-11,1.0
2020-01-25 08:00:00,5.124356624881448e-08,-1.1182459720323487e-07,-1.9147475259971694e-07,-1.3483965359212772e-07,2.3418862710210292e-07,2.397294644925076e-07,74935939440.00662,4506341.002899729,9.595971193817094e-11,9.3914731062751e-11,9.459757226591147e-11,9.456647969217346e-11,1.0
2020-01-25 09:00:00,2.237070779929475e-08,-1.2702594799014007e-07,-1.4528022599069467e-07,-1.3412172437268303e-07,1.97724507870444e-07,1.9898600347775895e-07,74944719792.81046,4505252.77789078,9.505015813209668e-11,9.367214110854122e-11,9.430870419946444e-11,9.430068545943621e-11,1.0
