datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,,,,,,,
2020-01-25 01:00:00,,,,,,,1522966384.8562012,660628.0159838739,,,,,1.0
2020-01-25 02:00:00,1.4508665000407688e-07,-1.4473555740398875e-07,-2.123820931123524e-08,1.8200374269804238e-07,1.8323870740332965e-07,2.3372325494107034e-07,1523596924.9896126,660790.0047787703,8.93606820591934e-10,8.972833209307111e-10,8.936563104734177e-10,8.950557056889188e-10,1.0
2020-01-25 03:00:00,1.4171053600070068e-07,-1.647450155433143e-07,-4.7825179842894226e-08,1.642283459176812e-07,1.7105027749133508e-07,2.221262556373483e-07,1524557805.0403996,660977.1101688404,8.911036877690338e-10,8.960291982554205e-10,8.914897181242715e-10,8.933401130965571e-10,1.0
2020-01-25 04:00:00,1.025645014463283e-07,-2.243001982169271e-07,-1.1855437543794993e-07,1.9250405234896004e-08,1.201071106853799e-07,1.579404792766059e-07,1525152669.7918358,661179.5374731392,8.693602938499045e-10,8.683592043872579e-10,8.683849355276938e-10,8.683740847077334e-10,1.0
2020-01-25 05:00:00,8.740400198479111e-08,-3.4094092429301204e-07,-1.4508014153883896e-07,-2.8137855217265467e-08,1.4778357948418132e-07,1.716957947304322e-07,1525684240.302166,661419.0043720937,8.37602285908195e-10,8.295114718881124e-10,8.29806156559106e-10,8.297298004613251e-10,1.0
2020-01-25 06:00:00,7.159624151374311e-08,-4.0565058492979737e-07,-1.4139047926390022e-07,-2.245021082169555e-08,1.4316172530538312e-07,1.6006655300626738e-07,1526113233.3649578,661638.9540002727,7.945284431722792e-10,7.861755064604593e-10,7.863819827552163e-10,7.863406776389869e-10,1.0
2020-01-25 07:00:00,1.0670751340544095e-07,-4.3076045333909474e-07,-1.2968500418481748e-07,5.354681191993441e-08,1.4030488721781918e-07,1.7627238806567894e-07,1526470923.8790874,661833.6415826848,7.553395727467876e-10,7.537039190411419e-10,7.539423789055025e-10,7.538550026968183e-10,1.0
2020-01-25 08:00:00,1.5766223487037149e-07,-3.663179173109461e-07,-1.2523402565507477e-07,9.587169556796254e-08,1.577179228650061e-07,2.23007451662881e-07,1527286282.3498,662103.6865810879,7.59149783789067e-10,7.427630346519833e-10,7.488597684673956e-10,7.458187078691642e-10,1.0
2020-01-25 09:00:00,1.3758839502769115e-07,-3.2931350199607445e-07,-1.1035982302555355e-07,7.21266697802477e-08,1.318390952328648e-07,1.9055737581661956e-07,1528204056.975809,662404.525933969,7.578654574773397e-10,7.280624968841447e-10,7.371088198103188e-10,7.324066488503489e-10,1.0
2020-01-25 10:00:00,1.096425276773234e-07,-2.692849174177962e-07,-4.6793257407238175e-08,1.164688772772905e-07,1.255173625958282e-07,1.66661609822074e-07,1528800490.5007553,662606.1708342271,7.277275176625948e-10,7.318836527279773e-10,7.283065652241114e-10,7.298568794266409e-10,1.0
