datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,,,,,,,
2020-01-25 00:30:00,,,,,,,4785533926.618925,1122317.5754072927,,,,,1.0
2020-01-25 01:00:00,-1.5359202773805864e-08,-1.3902242220448236e-07,-4.143299540999254e-08,2.8260582367321118e-08,5.015330123117126e-08,5.245244259547395e-08,4785342915.548826,1122318.680296381,4.154995783031387e-10,3.9535098695102095e-10,4.0185792292356615e-10,4.013041248857579e-10,1.0
2020-01-25 01:30:00,-1.361033508705921e-10,-1.2805215279942547e-07,-2.7942779462907794e-08,3.871877180123401e-08,4.774874044316494e-08,4.774893441775276e-08,4785250726.160179,1122312.2725964403,4.107468842965685e-10,3.930781490021773e-10,4.047828164430279e-10,4.047827227203798e-10,1.0
2020-01-25 02:00:00,2.880648410523762e-08,-1.0447975251859443e-07,-1.2176051818966864e-08,7.148503000816747e-08,7.251458993310774e-08,7.802678565513306e-08,4785338331.334583,1122320.483859868,4.0347383008366e-10,3.8878143432459556e-10,4.0306692452829564e-10,4.011497698149e-10,1.0
2020-01-25 02:30:00,4.19945692254078e-08,-9.656248217534081e-08,-1.3332934734658274e-08,1.0563119188003476e-07,1.0646931880422349e-07,1.1445199732229642e-07,4785775940.071817,1122329.0334176298,3.982469658323871e-10,3.8637604991848403e-10,3.9806353793690316e-10,3.9651012819902067e-10,1.0
2020-01-25 03:00:00,1.73636150882502e-08,-1.1131732525597598e-07,-4.818723690843731e-08,9.605521300223807e-08,1.0746447666915421e-07,1.0885820536233408e-07,4786105029.368668,1122338.25237965,3.964806224334849e-10,3.865675276683245e-10,3.9450746391952055e-10,3.943074350857625e-10,1.0
2020-01-25 03:30:00,-1.8257205314359574e-08,-1.2536805235677437e-07,-9.070983348689213e-08,6.726084555376733e-08,1.1292606092407296e-07,1.1439239826893271e-07,4786091934.564947,1122345.2836067225,3.941061874864169e-10,3.891871251746581e-10,3.909393024315949e-10,3.9089476730344914e-10,1.0
2020-01-25 04:00:00,-3.0656495520266836e-08,-1.7726205058438186e-07,-9.451852180753295e-08,1.2907479686452003e-07,1.5998141814066469e-07,1.628922185614842e-07,4785768995.322044,1122355.0774778754,3.950476745849571e-10,3.8852406981404287e-10,3.9278288246827057e-10,3.9263282591059706e-10,1.0
2020-01-25 04:30:00,-1.6559290367009466e-08,-2.154909995981653e-07,-5.5561635200477417e-08,2.1246363643842377e-07,2.1960849736471867e-07,2.2023192823078258e-07,4785529068.833427,1122288.2391594588,3.9561644664144005e-10,3.8311991488634326e-10,3.948283850828074e-10,3.9476316651182816e-10,1.0
2020-01-25 05:00:00,-1.0817289102508681e-08,-1.8317803915412867e-07,-1.6085858306075968e-08,2.2945786604501528e-07,2.3002101453427102e-07,2.302752285220939e-07,4785464264.06838,1122209.805189382,3.912522317941061e-10,3.8098621128449415e-10,3.912026813362573e-10,3.911804304466599e-10,1.0
2020-01-25 05:30:00,-3.3811917511190116e-08,-1.4543439824878315e-07,-2.418163536300854e-08,2.1525768517321697e-07,2.166116860073835e-07,2.1923473329001686e-07,4785329505.6538315,1122092.0762533124,3.8626449831149163e-10,3.8327585472271565e-10,3.862273944453037e-10,3.861574511279073e-10,1.0
2020-01-25 06:00:00,-5.6694585100071426e-08,-1.248260157741156e-07,-7.276428319391624e-08,1.3567281788448557e-07,1.5395374117390337e-07,1.640610569303711e-07,4784844007.096735,1121986.3987176102,3.846582300997271e-10,3.891088134712431e-10,3.856568834591209e-10,3.860707310940169e-10,1.0
2020-01-25 06:30:00,-4.197048593857968e-08,-1.5955085956706925e-07,-7.968889591826446e-08,7.943393227533338e-08,1.1251697529437163e-07,1.2008993054921277e-07,4784290539.3429985,1121946.820130399,3.841116209098297e-10,3.8673268053513474e-10,3.8542857846198366e-10,3.855881041500037e-10,1.0
2020-01-25 07:00:00,-2.9412796917527888e-09,-1.8983895109415075e-07,-2.4645620760373052e-08,7.50434194146756e-08,7.898684333552672e-08,7.904158744822981e-08,4784074669.132322,1121928.5812621494,3.79997605817051e-10,3.807381272408308e-10,3.8006976462699474e-10,3.8007069093336717e-10,1.0
2020-01-25 07:30:00,-1.3509977099102963e-08,-1.7099822326308292e-07,5.5670272984341834e-09,8.902742663057531e-08,8.920131437038347e-08,9.021858991705793e-08,4784235409.53796,1121908.083354972,3.785844428610297e-10,3.8208084880322827e-10,3.7859812389868133e-10,3.7867657233531947e-10,1.0
2020-01-25 08:00:00,-2.154932342536487e-08,-9.402235444122785e-08,3.925029300632297e-08,9.364750742695106e-08,1.0154034246723349e-07,1.0380180387861301e-07,4783826062.360313,1121817.9072459468,3.827304354953537e-10,3.8354885279184927e-10,3.8285283453508525e-10,3.828828576445742e-10,1.0
2020-01-25 08:30:00,5.866277485492301e-08,-4.711635509771539e-08,1.587793858094708e-07,1.4818382830212795e-07,2.1718503707278575e-07,2.2496813437015185e-07,4783839714.223797,1121734.5079230666,3.8717675295381115e-10,3.825069356017868e-10,3.846878987427826e-10,3.845399939788025e-10,1.0
2020-01-25 09:00:00,1.213489010103964e-07,-3.725661808097175e-08,2.429104325002246e-07,2.2612319255595598e-07,3.31869215850377e-07,3.533592112929492e-07,4784897895.750221,1121622.3904163875,3.81484514064069e-10,3.7719315054795136e-10,3.791914758567763e-10,3.7895635354277246e-10,1.0
2020-01-25 09:30:00,8.560370092522732e-08,-1.0686314402589752e-08,1.8861835886560447e-07,1.7968700487942563e-07,2.6050778303861226e-07,2.7421214166369156e-07,4786059452.562176,1121503.8740038348,3.7384758077738546e-10,3.730074946173704e-10,3.73407413393934e-10,3.733684574669003e-10,1.0
2020-01-25 10:00:00,-3.6748702323285276e-09,-9.447872810214337e-08,5.5899810735385114e-08,8.44219607785909e-08,1.0125145086345092e-07,1.0131811769460717e-07,4786464512.227055,1121421.5539028333,3.7164239624636306e-10,3.753124102167762e-10,3.7276485299302045e-10,3.727682158878182e-10,1.0
