datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,4440997644.4435425,1187624.7771838114,,,,,1.0
2020-01-25 01:00:00,1.097096109742875e-07,-1.4750785472692465e-07,4.276268791347113e-08,1.1564024452398659e-07,1.232936074220896e-07,1.650379119211154e-07,4443183243.021481,1187923.6056286376,4.6402313175881423e-10,5.464297236781998e-10,4.746938148645812e-10,5.076453272706862e-10,1.0
2020-01-25 02:00:00,5.887693006838448e-08,-1.2259728949391382e-07,-1.4238328691367611e-08,1.535526257812994e-07,1.54211344875321e-07,1.65068566912458e-07,4444715500.579697,1188314.969346033,4.575780648002793e-10,5.30441034120097e-10,4.58248172338803e-10,4.680512894699843e-10,1.0
2020-01-25 03:00:00,1.0428272832786961e-07,-9.065214335842617e-08,3.86033457698102e-09,1.6313330472847438e-07,1.6317897320022428e-07,1.9365501470962164e-07,4445176624.749596,1188628.120479156,4.6091686034294393e-10,5.382515217013529e-10,4.6096376972180677e-10,4.846461314880262e-10,1.0
2020-01-25 04:00:00,1.555918353354645e-07,-1.257225069445363e-07,2.6534062248345512e-08,2.3441870438182966e-07,2.3591563200316914e-07,2.826039713919693e-07,4448250736.788059,1189204.5829663505,4.639461381634939e-10,5.466766349067151e-10,4.650846005291968e-10,4.912503310562957e-10,1.0
2020-01-25 05:00:00,1.2208747294499923e-07,-1.8352323746761368e-07,-2.7415341966050133e-08,3.2138137606468626e-07,3.225485852648354e-07,3.448810532726359e-07,4450458078.404095,1189879.9242714217,4.5748496156621994e-10,5.271900067982702e-10,4.580265761394487e-10,4.672552173123553e-10,1.0
2020-01-25 06:00:00,1.263777195851862e-07,-2.0237344933558796e-07,-2.942633647695392e-08,3.496580795882669e-07,3.508941177902669e-07,3.729584560073168e-07,4452396277.485958,1190670.8867644952,4.4998847898327614e-10,5.058184942046955e-10,4.504052770381769e-10,4.57109359923535e-10,1.0
2020-01-25 07:00:00,9.341573146896719e-08,-1.8938757519582753e-07,-7.678987161405415e-08,3.313654125369538e-07,3.401466169290656e-07,3.5274100965746907e-07,4454753420.257587,1191446.6628070318,4.414232732469908e-10,4.826601151411836e-10,4.436176378329203e-10,4.46467181628019e-10,1.0
2020-01-25 08:00:00,6.202309327715142e-09,-1.6484500479352773e-07,-1.5762101841082519e-07,3.00814188970538e-07,3.3960795298530366e-07,3.3966458510104475e-07,4455571517.633957,1192162.6971525485,4.370676476971068e-10,4.5925767083729464e-10,4.419418372244352e-10,4.419477239345991e-10,1.0
2020-01-25 09:00:00,-3.994581280891239e-08,-1.64872419249902e-07,-1.6030554417063798e-07,2.2805109554924336e-07,2.787564701904774e-07,2.8160404406545583e-07,4454963603.186779,1192670.09443663,4.298931233424058e-10,4.3470430164602985e-10,4.3149016454498675e-10,4.315550744527532e-10,1.0
2020-01-25 10:00:00,-5.2611276627330894e-08,-1.038036307480433e-07,-1.4385628840699496e-07,1.6199958530167388e-07,2.1665294217284663e-07,2.2294941978060484e-07,4454211997.858337,1192992.4447412405,4.1881999127550875e-10,4.2292007834483286e-10,4.206325973370437e-10,4.2076030467370586e-10,1.0
2020-01-25 11:00:00,-9.266322651940281e-08,-9.775153417884778e-08,-1.8908795919475295e-07,1.8174739306548932e-07,2.6227156002612644e-07,2.7815974681381234e-07,4453172289.417393,1193226.613020958,4.163316404443969e-10,4.1964700135000055e-10,4.1805820306752273e-10,4.18234818144225e-10,1.0
2020-01-25 12:00:00,-3.0097610426434764e-08,-1.1345262791193687e-07,-1.3689748141192685e-07,1.724438165384265e-07,2.2017672510796267e-07,2.2222433807449803e-07,4451057491.387959,1193535.3669230407,4.300461653771746e-10,4.218267520379e-10,4.2688740576726935e-10,4.267951162297544e-10,1.0
2020-01-25 13:00:00,7.270232643362899e-08,-1.5506765314245647e-07,-4.95776287136436e-08,2.2250896346891699e-07,2.2796530458137645e-07,2.392776804504375e-07,4452146983.158367,1193896.1414681026,4.6052030582348435e-10,4.324603748871014e-10,4.5923178372561434e-10,4.5682600578444086e-10,1.0
