datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,1893114545.7831879,724136.4745149403,,,,,1.0
2020-01-25 00:30:00,8.385326481132624e-08,-1.969054653130004e-07,1.0671701519891191e-07,6.647808821238045e-08,1.2572930265191894e-07,1.5112652832926533e-07,1893308109.4215088,724198.1276227206,7.093027020962033e-10,9.799455807111339e-10,9.124037531230525e-10,9.337181130070145e-10,1.0
2020-01-25 01:00:00,1.0337993125852507e-07,-2.405511828176108e-07,1.6050690014500953e-07,1.0227986743374334e-07,1.9032508052388726e-07,2.1658958068993427e-07,1893720019.3384094,724311.601766124,7.153092707627232e-10,1.0228615097927698e-09,9.443847848153707e-10,9.628263673286076e-10,1.0
2020-01-25 01:30:00,6.97358290693644e-08,-2.403799496512707e-07,1.298916317636361e-07,1.2297413115130555e-07,1.788699889155208e-07,1.9198322528447673e-07,1894054616.309658,724432.6481156888,7.144507208579066e-10,1.0141722986738106e-09,8.852432179128008e-10,9.033089113014485e-10,1.0
2020-01-25 02:00:00,1.4273838377000495e-08,-2.1840220207813878e-07,5.179551276831071e-08,1.1455047868012904e-07,1.2571629691006228e-07,1.2652402843251424e-07,1894223221.6080894,724526.7624103569,6.928425773993438e-10,9.63769295317787e-10,7.457992907869688e-10,7.489721003996123e-10,1.0
2020-01-25 02:30:00,3.1839345650389397e-09,-1.9538065778463658e-07,1.6037386998419464e-08,9.523309434664891e-08,9.657401327776954e-08,9.66264843605999e-08,1894156723.184391,724572.4361593358,6.851474831113223e-10,9.481293066910432e-10,6.937376989862581e-10,6.940644741964147e-10,1.0
2020-01-25 03:00:00,9.62461081822048e-08,-2.034131067674018e-07,1.031150734184872e-07,7.56700100271266e-08,1.2790101165982013e-07,1.6006867939677054e-07,1894245158.1732025,724634.6674538798,7.150921258740816e-10,1.0254964135626344e-09,9.287243899230774e-10,9.648320080880218e-10,1.0
2020-01-25 03:30:00,1.807857243530039e-07,-2.3051422834221664e-07,1.943349356300759e-07,9.183563679393505e-08,2.1494150690756147e-07,2.808617622987038e-07,1894851771.3184586,724775.4243351785,7.506761694061882e-10,1.1034234991732789e-09,1.047926743349576e-09,1.0712694166624363e-09,1.0
2020-01-25 04:00:00,1.3194932186700078e-07,-2.39794707623137e-07,1.5789268347595232e-07,1.8813426049500439e-07,2.4561066643621045e-07,2.7881037105602945e-07,1895552081.563633,724960.1029459671,7.355433715585805e-10,1.0693736258400661e-09,8.888372115123124e-10,9.323156891076282e-10,1.0
2020-01-25 04:30:00,4.385571338466406e-08,-2.396466214747755e-07,8.169874702661731e-08,3.020671118678535e-07,3.12920477658311e-07,3.159787159515389e-07,1895805760.9357948,725145.336270187,7.196197585559285e-10,1.0033716862164797e-09,7.42414114721734e-10,7.483012340115202e-10,1.0
2020-01-25 05:00:00,1.8281444857868536e-08,-2.5133946901534787e-07,6.428750261055406e-08,3.623107324740136e-07,3.679700393479858e-07,3.684238877758193e-07,1895868699.8078728,725345.2431987639,7.218692191050418e-10,9.935556864918903e-10,7.316561225023791e-10,7.324159940785265e-10,1.0
2020-01-25 05:30:00,3.9847127292141594e-08,-2.9795571230397054e-07,9.729839927546666e-08,3.536078616365316e-07,3.667499124917804e-07,3.689082431529075e-07,1895937356.1031685,725564.5978255175,7.233900547869247e-10,1.0007086342514247e-09,7.462876739915616e-10,7.497539131458539e-10,1.0
2020-01-25 06:00:00,7.85668556535644e-08,-3.8376035293786886e-07,1.5116268045882162e-07,2.83771070567095e-07,3.215216578308388e-07,3.3098176273259986e-07,1896156575.9945564,725780.3439640823,7.158673228454452e-10,9.755604595726382e-10,7.807418539174523e-10,7.929927771376339e-10,1.0
2020-01-25 06:30:00,7.817213098054412e-08,-4.037606869350207e-07,1.580480419835505e-07,2.5812428458909195e-07,3.0266702805139623e-07,3.1259912336969857e-07,1896505749.1217384,725968.3359909961,7.024501252231136e-10,9.284798515265816e-10,7.706849858207691e-10,7.814873010289813e-10,1.0
2020-01-25 07:00:00,4.72179567471781e-10,-2.857827330378881e-07,6.988813837768399e-08,3.50708211807838e-07,3.5760397329357186e-07,3.5760428502591185e-07,1896722018.8238907,726154.0925004126,6.911230608362476e-10,8.850510969139749e-10,6.995182781049755e-10,6.995186444681187e-10,1.0
2020-01-25 07:30:00,-9.579910254839478e-08,-1.5079544793902748e-07,-4.5821031600834745e-08,4.486897684445958e-07,4.5102336441012647e-07,4.610851800837971e-07,1896508316.5836182,726349.8826948388,6.864919075296665e-10,8.447816600740414e-10,6.883115941464696e-10,6.957931416466752e-10,1.0
2020-01-25 08:00:00,-1.310633834689956e-07,-1.4088368073440074e-07,-9.5945051146275e-08,4.178261131141301e-07,4.2870049409759626e-07,4.4828754625336645e-07,1896027654.9752922,726527.7382147567,6.86443138876478e-10,7.996632611892755e-10,6.925546295054176e-10,7.023486726756728e-10,1.0
2020-01-25 08:30:00,-1.3173694846612592e-07,-2.0736373720793828e-07,-9.393483945957662e-08,3.191412396858092e-07,3.326783505617574e-07,3.5781211343896433e-07,1895559226.6980934,726647.5080152239,6.792589452060308e-10,7.504078625452125e-10,6.852024987282486e-10,6.944000252022792e-10,1.0
2020-01-25 09:00:00,-1.2139156426517845e-07,-2.624725676271357e-07,-6.069643200391012e-08,2.3478429515474837e-07,2.425030352579474e-07,2.711892954820751e-07,1895073979.2721367,726714.2582670937,6.567185664805254e-10,6.97592162726803e-10,6.593535230263571e-10,6.671909770377295e-10,1.0
2020-01-25 09:30:00,-1.032852450936065e-07,-2.4178845217100186e-07,-3.5628975330613565e-08,1.801199281575493e-07,1.836099463607301e-07,2.1066668995509603e-07,1894680672.8387184,726749.6527673342,6.313660522712428e-10,6.575832182767253e-10,6.323729339601997e-10,6.38523672941084e-10,1.0
2020-01-25 10:00:00,-9.470515196900513e-08,-1.1776993357357803e-07,-6.548021429471582e-08,1.6660511419454144e-07,1.790109564799264e-07,2.0251910613403974e-07,1894326455.3046188,726777.000901999,6.130432563287361e-10,6.420831125614752e-10,6.170080414065808e-10,6.225778201010117e-10,1.0
2020-01-25 10:30:00,-1.3053999022282718e-07,-2.6100391706069365e-08,-1.236885329145627e-07,2.0447484362853436e-07,2.389745066978284e-07,2.723040651529944e-07,1893995276.0192184,726813.5337019499,6.045816977612288e-10,6.387769664699951e-10,6.139290543166485e-10,6.197276608777569e-10,1.0
2020-01-25 11:00:00,-2.2374061201144827e-07,-6.55531996264936e-08,-1.7123771259164187e-07,2.9884276326378513e-07,3.4442611888292165e-07,4.1071792367999953e-07,1893381894.3997421,726841.8281896376,6.054026912904541e-10,6.323585233245214e-10,6.121759749105946e-10,6.182340605680476e-10,1.0
2020-01-25 11:30:00,-2.445209414039498e-07,-1.2918224486988874e-07,-1.6485532088391247e-07,3.3100003925628615e-07,3.697814257252529e-07,4.433156816496283e-07,1892376995.2684135,726861.2996491248,6.153267024433801e-10,6.22422082299012e-10,6.167434369765849e-10,6.184765850634034e-10,1.0
2020-01-25 12:00:00,-1.0605687224119652e-07,-1.0951286242917263e-07,-9.244169526178814e-08,2.1465053579639887e-07,2.3370990466934517e-07,2.5664835805073816e-07,1891614277.9032288,726895.9051297999,6.413251279790298e-10,6.152715783191667e-10,6.373192787271303e-10,6.336086092097877e-10,1.0
2020-01-25 12:30:00,4.2203357869153466e-08,-1.1170527234358523e-07,-7.632631590757992e-09,1.1470060385004942e-07,1.149542760777789e-07,1.2245655966095914e-07,1891610385.2549667,726967.2688565701,6.957428363368046e-10,6.243517481212763e-10,6.954441867812281e-10,6.873849935657611e-10,1.0
2020-01-25 13:00:00,6.422625707267223e-08,-2.2609673548109508e-07,4.217113871044588e-08,1.9089857266933131e-07,1.9550107413342678e-07,2.057806649928234e-07,1891918652.8776283,727083.7898197112,7.679132354341612e-10,6.460674609711629e-10,7.6267569068277e-10,7.521117631235399e-10,1.0
2020-01-25 13:30:00,3.588723836639527e-08,-3.173049602296554e-07,4.307412233865253e-08,3.0686188996298223e-07,3.0987029468295056e-07,3.1194149035430523e-07,1892073742.8486443,727263.7107446416,8.101114799792858e-10,6.572305128923941e-10,8.074316831216952e-10,8.056266111652143e-10,1.0
2020-01-25 14:00:00,2.3799842148260886e-08,-2.4134659358325937e-07,-2.4560215273721875e-08,3.3125237632487657e-07,3.321616187869532e-07,3.3301317313501484e-07,1892177188.8923378,727470.4804253392,7.920440325402541e-10,6.419157868785385e-10,7.913006893713384e-10,7.906093965746758e-10,1.0
2020-01-25 14:30:00,3.227930913616926e-08,-1.260796041242794e-07,-6.025885634327523e-08,3.3795915818771675e-07,3.43289269233324e-07,3.448035327096548e-07,1892244995.8433418,727670.9490561566,7.723045935929323e-10,6.325877347992123e-10,7.683790509883357e-10,7.672933598236138e-10,1.0
2020-01-25 15:00:00,7.85012621882225e-08,-1.459248569298658e-07,5.303361719549747e-08,3.9040977503830356e-07,3.9399537687426915e-07,4.0173972315846663e-07,1892409966.7704735,727902.47687477,7.94824493970158e-10,6.423618762775437e-10,7.923231156014691e-10,7.871220209346465e-10,1.0
2020-01-25 15:30:00,1.249660301151014e-07,-2.618009793591655e-07,2.1343366035556925e-07,4.470265572598638e-07,4.953651887934625e-07,5.108847022089341e-07,1892811824.2870903,728209.4995557045,7.983411218338672e-10,6.475349703956594e-10,7.725736163684493e-10,7.656667706374491e-10,1.0
2020-01-25 16:00:00,1.4543973492748144e-07,-3.973822005723876e-07,3.0340351190226665e-07,4.52547189681321e-07,5.448418577193665e-07,5.63919645356381e-07,1893312919.5081367,728545.832605786,7.313297290765113e-10,6.330182479953053e-10,7.023170725320463e-10,6.979211911679746e-10,1.0
2020-01-25 16:30:00,1.4705467510987262e-07,-5.006379542953066e-07,3.1531465885570783e-07,4.519102283184433e-07,5.510410044162948e-07,5.7032557896327e-07,1893863559.4499702,728874.7750338485,6.793824016747713e-10,6.298520051362964e-10,6.635717961682491e-10,6.613833467169716e-10,1.0
2020-01-25 17:00:00,1.5658805378209054e-07,-5.493268491156821e-07,2.8996128375629076e-07,4.839557213020775e-07,5.641725678005004e-07,5.855002176309358e-07,1894376870.5076828,729211.3383355469,6.841788520326678e-10,6.33610957297505e-10,6.711915446539179e-10,6.68573706664773e-10,1.0
2020-01-25 17:30:00,1.9535786216531648e-07,-5.646542340222856e-07,2.911655244574407e-07,5.036974662775033e-07,5.817976453776288e-07,6.137207789188467e-07,1894996766.6181831,729593.692245062,6.901224468554111e-10,6.413276308564545e-10,6.782309567585201e-10,6.745836184737861e-10,1.0
2020-01-25 18:00:00,2.491956890992366e-07,-5.593578830261216e-07,3.388939501235513e-07,4.824732706258011e-07,5.896011925858882e-07,6.401000373100637e-07,1895791134.104206,730006.741723344,6.542578804979707e-10,6.636002182889199e-10,6.573590686852741e-10,6.583087832704343e-10,1.0
2020-01-25 18:30:00,2.8402125280879535e-07,-5.397337595642838e-07,3.759605969929179e-07,4.7051664105931046e-07,6.022725960933365e-07,6.658831369332647e-07,1896801743.4062958,730433.7257260692,6.290571755178458e-10,6.992471134136676e-10,6.573000755959434e-10,6.651284150629887e-10,1.0
2020-01-25 19:00:00,2.7933239187671154e-07,-5.276906914200534e-07,3.5957836585988264e-07,4.919377865625678e-07,6.093434064979633e-07,6.703178143195262e-07,1897849583.528637,730877.0140399892,6.312834688569177e-10,7.111599508152474e-10,6.601962719052166e-10,6.693247195985516e-10,1.0
2020-01-25 19:30:00,2.9132613120397474e-07,-5.300905938565375e-07,3.6922635249970754e-07,4.66700797641988e-07,5.950947268291882e-07,6.625772774719804e-07,1898827454.722866,731324.7474178995,6.373273062455959e-10,7.14010640071448e-10,6.678902530916536e-10,6.770514493519605e-10,1.0
2020-01-25 20:00:00,3.6818042576205745e-07,-5.412026618681142e-07,4.776422651447591e-07,3.332309718326698e-07,5.823959255018547e-07,6.890151231689272e-07,1899963393.3095894,731755.5536460051,6.272953745150637e-10,7.372444489576431e-10,7.031446329732401e-10,7.130477856268698e-10,1.0
2020-01-25 20:30:00,3.753976267978866e-07,-4.963613072820338e-07,5.227569512237803e-07,2.3694564662066474e-07,5.739495356782395e-07,6.858144411652121e-07,1901500306.89674,732144.4347253263,6.19812197492655e-10,7.589057697029429e-10,7.370577773508749e-10,7.436712073701852e-10,1.0
2020-01-25 21:00:00,2.002211786860439e-07,-3.411376044127352e-07,3.551455448709322e-07,3.1924832784833507e-07,4.775435612335585e-07,5.17818861446798e-07,1902690536.9439545,732470.429568356,6.213166978144977e-10,7.46677711145413e-10,6.934577253514761e-10,7.016712211252828e-10,1.0
2020-01-25 21:30:00,6.158157365232515e-09,-2.1253386391227163e-07,1.4570544102800305e-07,4.2746408590394794e-07,4.51614459780533e-07,4.516564437545396e-07,1902955953.5438309,732732.8180777672,6.267315876055032e-10,7.427426015429756e-10,6.397889869544557e-10,6.398096658829555e-10,1.0
2020-01-25 22:00:00,-4.688039514089542e-08,-2.273997589985129e-07,7.230206503529822e-08,4.1152604877108246e-07,4.1782924433972764e-07,4.2045100650857566e-07,1902736116.9599648,732941.211498782,6.297418766634656e-10,7.840616168305517e-10,6.349077535101354e-10,6.369765209113636e-10,1.0
2020-01-25 22:30:00,-1.1833508300740518e-08,-3.1070729651457664e-07,9.575010810125138e-08,3.2979358184296365e-07,3.4341212824565895e-07,3.4361595094657147e-07,1902616464.4348755,733122.4972155691,6.377507514277276e-10,8.414958789919183e-10,6.558629224641783e-10,6.561141892650692e-10,1.0
2020-01-25 23:00:00,4.947724360169271e-08,-3.791492594145819e-07,1.6258609606118823e-07,2.437844330403539e-07,2.9302745336439844e-07,2.971751773948254e-07,1902651494.8617973,733284.0538771813,6.439904068972639e-10,8.712559444162132e-10,7.216221799170524e-10,7.261855657192199e-10,1.0
2020-01-25 23:30:00,1.2090455607516355e-07,-3.452978000799344e-07,2.2697707775189783e-07,1.6294124898946403e-07,2.794073092226429e-07,3.044443399486513e-07,1902977318.7272568,733443.8204444761,6.497215122126771e-10,8.675373532572646e-10,8.001431004576245e-10,8.111441030782084e-10,1.0
2020-01-26 00:00:00,1.7793788630748185e-07,-1.8146843850798535e-07,2.4793972682455105e-07,8.42220324544979e-08,2.618538884351338e-07,3.1659019295008786e-07,1903531189.097252,733604.1649838868,6.622613966069565e-10,8.432302647513642e-10,8.263488593590894e-10,8.317186251272931e-10,1.0
2020-01-26 00:30:00,1.5136718975343377e-07,-1.405753183425155e-08,2.2035644239143003e-07,7.61507375519825e-08,2.3314351059619595e-07,2.779710824293969e-07,1904271713.505661,733751.5367726776,7.015962467393607e-10,8.250095526834343e-10,8.127367477431269e-10,8.163952089605405e-10,1.0
2020-01-26 01:00:00,1.2863422494546165e-09,4.1582388075565225e-08,1.527275821583713e-07,1.9190277702656119e-07,2.452598421724358e-07,2.452632154621456e-07,1904632570.735588,733869.8030701778,7.930638879877795e-10,8.335087850383376e-10,8.089875450275476e-10,8.089882297633784e-10,1.0
2020-01-26 01:30:00,-1.572561659247417e-07,7.772323704994878e-09,8.532149633024388e-08,3.2914757781559035e-07,3.4002630150901845e-07,3.746296670570175e-07,1904281161.6859474,733948.4114989077,8.95091745103978e-10,8.603762064561361e-10,8.92945733336142e-10,8.872936866978426e-10,1.0
2020-01-26 02:00:00,-2.0949148935128892e-07,-4.5906125665392116e-08,5.445873153999059e-08,3.926516486161809e-07,3.964102301933561e-07,4.483611877856633e-07,1903488717.380951,734010.3790341188,9.3910081689672e-10,8.915718768345662e-10,9.382260864076728e-10,9.282410333088285e-10,1.0
